Wissel Nr;latitude;longitude;;;;
W580;52.0747;4.305554;;;;
W583;52.075146;4.305606;;;;
W584;52.07517;4.305531;;;;
W586;52.080123;4.324011;;;;
W588;52.082313;4.322641;;;;
W595;52.044605;4.273546;;;;
W596;52.044552;4.273625;;;;
W601;52.061363;4.327162;;;;
W603;52.06183;4.327268;;;;
W605;52.061675;4.328075;;;;
W607;52.060515;4.335562;;;;
W613;52.052535;4.343905;;;;
W615;52.041235;4.3706;;;;
W617;52.050514;4.384605;;;;
W619;52.050543;4.386768;;;;
W621;52.051725;4.38547;;;;
W623;52.072788;4.292592;;;;
W624;52.071808;4.293184;;;;
W628;52.044704;4.274649;;;;
W630;52.043941;4.274799;;;;
W632;52.021038;4.296671;;;;
W634;52.017427;4.289013;;;;
W636;52.091412;4.381348;;;;
W638;52.025655;4.350919;;;;
W640;52.040438;4.369472;;;;
W643;52.041228;4.369227;;;;
W644;52.09887;4.303787;;;;
W646;52.099262;4.302614;;;;
W649;52.006511;4.359344;;;;
W651;52.046684;4.392489;;;;
W656;52.071966;4.32374;;;;
W657;52.071457;4.322537;;;;
W658;52.07117;4.322248;;;;
W662;52.043404;4.24465;;;;
W665;52.043539;4.245445;;;;
W666;52.043226;4.245067;;;;
W668;52.043053;4.245639;;;;
W689;52.00943;4.356859;;;;
W692;52.007911;4.358227;;;;
W702;52.113732;4.283736;;;;
W703;52.113973;4.28388;;;;
LSA127;52.068267;4.318572;;;;
LSA018;52.062587;4.311102;;;;
